model,rows,late_rate,mean_probability,roc_auc,average_precision,brier_score,log_loss,ece_10_bins,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,tn,fp,fn,tp,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_30pct,recall_at_30pct,lift_at_30pct
random_forest,9639,0.15935262994086524,0.11869712774381709,0.7591108874285244,0.3902258836144034,0.12307667742110188,0.39658533407838215,0.055793547561406344,0.5,0.8406473700591348,0.5,0.0,0.0,0.0,0.0,8103,0,1536,0,0.44813278008298757,0.28125,2.812208246887967,0.3257261410788382,0.61328125,2.0440587720435683
hist_gradient_boosting,9639,0.15935262994086524,0.1587573973571662,0.7388272797626394,0.3685382369154948,0.11871671946459915,0.38721929708385633,0.004102340536283297,0.5,0.8438634713144517,0.5401660891413674,0.5598455598455598,0.09440104166666667,0.1615598885793872,0.11322817429330001,7989,114,1391,145,0.4387966804979253,0.275390625,2.7536205750778007,0.3160442600276625,0.5950520833333334,1.9833011864626555
logistic_regression,9639,0.15935262994086524,0.10622757103325735,0.737938575347608,0.36849160558940286,0.12358689991774086,0.40129655274250287,0.053467144135005217,0.5,0.840958605664488,0.5030870848374059,0.5789473684210527,0.007161458333333333,0.01414790996784566,0.008924225214992698,8095,8,1525,11,0.4533195020746888,0.2845052083333333,2.84475695344917,0.3118948824343015,0.5872395833333334,1.957262221213693
dummy_prior,9639,0.15935262994086524,0.07877310372253056,0.5,0.15935262994086524,0.1404524293173662,0.4739185041310081,0.08057952621833468,0.5,0.8406473700591348,0.5,0.0,0.0,0.0,0.0,8103,0,1536,0,0.15935262994086524,0.1,1.0,0.15935262994086524,0.3,1.0
