risk_tier,orders,share,mean_predicted_risk,observed_late_rate,late_orders
Low,13496,0.7,0.0372969171826505,0.02526674570243035,341
Medium,3856,0.2,0.10358315145421781,0.11618257261410789,448
High,1928,0.1,0.17073963930863972,0.1187759336099585,229
