segment_family,criterion,standard_deviation,information,weight
product_category,order_volume,0.23771143281310567,0.6213429247319978,0.1805162784365161
product_category,expected_late_orders,0.2222176979006744,0.5835069563981781,0.16952394566374174
product_category,smoothed_late_rate,0.22459537112345224,1.0059954193589649,0.2922678314960955
product_category,mean_positive_delay_days,0.19107949419015616,0.5863815360082018,0.17035908579750086
product_category,review_penalty,0.21836342065109496,0.644805816255974,0.1873328586061458
customer_state,order_volume,0.20917651461419018,0.7135515008698124,0.15948768427795082
customer_state,expected_late_orders,0.21428343083778775,0.7043035666097609,0.15742065531410948
customer_state,smoothed_late_rate,0.29157706467669225,1.125708669537036,0.25160996600416563
customer_state,mean_positive_delay_days,0.24261582074348284,1.0365133349232538,0.23167369322132056
customer_state,review_penalty,0.23510473027289117,0.893945509178402,0.1998080011824535
seller_state,order_volume,0.2796769602591078,0.8310875654253908,0.17373514056365388
seller_state,expected_late_orders,0.2804371490532993,0.834836115347152,0.17451875816865764
seller_state,smoothed_late_rate,0.26111126237277005,1.0767330446583006,0.22508622995398958
seller_state,mean_positive_delay_days,0.2780474782107117,1.0068084715103922,0.21046881050254196
seller_state,review_penalty,0.3190576530211434,1.0341816964222459,0.2161910608111568
route,order_volume,0.15048602366157043,0.47755749171517475,0.12680014584020147
route,expected_late_orders,0.15525300403728093,0.4713752493283756,0.12515864874327573
route,smoothed_late_rate,0.25403685579781793,0.9778972506478185,0.2596493954131708
route,mean_positive_delay_days,0.25602351239840443,1.0521963935656067,0.2793771608052306
route,review_penalty,0.2074239931815233,0.7871955583440312,0.20901464919812135
