segment_family,priority_rank,segment,order_volume,observed_late_orders,observed_late_rate,expected_late_orders,mean_predicted_risk,mean_positive_delay_days_raw,positive_delay_observations,late_review_mean,late_review_observations,on_time_review_mean,smoothed_late_rate,mean_positive_delay_days,review_penalty_raw,review_penalty,normalized_order_volume,normalized_expected_late_orders,normalized_smoothed_late_rate,normalized_mean_positive_delay_days,normalized_review_penalty,priority_score
product_category,1,health_beauty,2302,162,0.07037358818418767,170.17840917662446,0.07392632892120958,4.943003186442616,162,3.2848101265822787,158,4.46135831381733,0.07000001764191154,4.947304517421343,1.1765481872350514,1.1665303508160523,1.0,1.0,0.5982210817737252,0.32788288989158987,0.6810257084279133,0.7083173245401633
product_category,2,cool_stuff,335,24,0.07164179104477612,20.977487215482327,0.06261936482233531,10.106591435185186,24,2.7916666666666665,24,4.395498392282958,0.06919491297084658,8.609648683447402,1.6038317256162915,1.4286601990808725,0.12616614837849843,0.10657262668509858,0.5876486179582516,1.0,0.9754179241584908,0.565679356863482
product_category,3,watches_gifts,1377,58,0.04212055192447349,120.71924578000068,0.087668297588962,5.790768279054918,58,3.0535714285714284,56,4.19040365575019,0.04249477329626905,5.676976779087536,1.1368322271787616,1.117349849635899,0.5890715237672146,0.7038344679176549,0.23702804559942364,0.4617930822724169,0.6257921789042602,0.4908315532810703
product_category,4,furniture_decor,1013,44,0.04343534057255676,63.90617331653962,0.06308605460665313,7.690706281565657,44,3.090909090909091,44,4.345077720207254,0.043875862176647164,7.19557291077141,1.2541686292981629,1.208627871168108,0.4273656152820968,0.3636331244286471,0.2551642119123532,0.7404873822012765,0.7283044993601248,0.4759513805979124
product_category,5,baby,638,37,0.05799373040752351,39.262845347066595,0.06154050994838024,5.566940377877878,37,2.8055555555555554,36,4.378964941569282,0.057616339380488275,5.449928824984015,1.5734093860137266,1.4505483315315832,0.26077298978231894,0.21606685279905194,0.4356012448422354,0.4201250118098662,1.0,0.46991947781168875
product_category,6,bed_bath_table,1784,66,0.03699551569506727,120.78709685147581,0.06770577177773307,6.197545594837261,66,3.3846153846153846,65,4.186658864833236,0.03742641302823115,6.042208816474033,0.8020434802178511,0.82953748757492,0.7698800533096402,0.7042407657056835,0.17047141332112045,0.5288208356344346,0.3025565018432356,0.45495307415860525
product_category,7,housewares,1519,85,0.05595786701777485,76.47252728129705,0.05034399426023505,4.191383169934641,85,3.402439024390244,82,4.4068627450980395,0.055857260352948336,4.278288739339071,1.0044237207077957,1.00483946143476,0.6521545979564638,0.4388814839381313,0.412501392070764,0.20510443680330445,0.4994342586044759,0.441188180870996
product_category,8,computers_accessories,1142,52,0.04553415061295972,60.21588313954469,0.052728444080161724,6.251804665242165,52,3.235294117647059,51,4.364220183486238,0.04583896098471135,6.052640377183223,1.1289260658391793,1.1091428641271608,0.4846734784540204,0.34153536379643706,0.2809432091786396,0.5307352462195515,0.6165750955984884,0.4334208841123659
product_category,9,sports_leisure,1249,55,0.044035228182546036,70.37842449302164,0.05634781784869627,4.803749789562289,55,3.290909090909091,55,4.474348191757779,0.044372626246170846,4.836555372595279,1.1834391008486884,1.156486706163639,0.5322079075966237,0.4023894959847465,0.26168761233297105,0.30755809468037365,0.6697459139947078,0.4186304493205389
product_category,10,furniture_living_room,110,11,0.1,5.28315880851273,0.04802871644102482,5.519846380471381,11,3.272727272727273,11,4.404040404040404,0.08525025933609959,5.280389094188211,1.131313131313131,1.0727109427811006,0.02621057307863172,0.012593699341525539,0.798484021840584,0.389010908725808,0.5756592131860688,0.4143489910232443
product_category,11,construction_tools_construction,335,22,0.06567164179104477,21.22937040209971,0.06337125493164093,5.247023358585858,22,2.909090909090909,22,4.330128205128205,0.06400010777604138,5.1751367088017535,1.4210372960372961,1.2920408083368495,0.12616614837849843,0.1080809238916022,0.5194315377146806,0.3696948843733718,0.8219837180994312,0.40987591954272995
product_category,12,perfumery,545,23,0.04220183486238532,31.86904593158273,0.058475313635931614,6.856242954911433,23,3.130434782608696,23,4.527938342967245,0.04309250671222846,6.298892386537278,1.3975035603585488,1.2795474921880394,0.21945801865837405,0.17179217470883598,0.24487735406657127,0.5759276643491203,0.8079527519686488,0.3897790143765917
product_category,13,art,67,8,0.11940298507462686,3.4831077587300907,0.05198668296612076,3.3163527199074077,8,3.375,8,4.186440677966102,0.0909405255878285,4.261149030668139,0.8114406779661021,0.9207783765381939,0.007107952021323856,0.001814845832437455,0.873207391619618,0.20195894011108428,0.40502711953492837,0.3670816201889563
product_category,14,auto,953,56,0.05876180482686254,62.495002210580864,0.06557712718843742,4.628225446428572,56,3.5714285714285716,56,4.34413407821229,0.058464647551122566,4.687128572617685,0.7727055067837187,0.8083938444522261,0.4007107952021324,0.35518291595860174,0.44674104785261687,0.28013513702790793,0.27881054544525213,0.36306881045268885
product_category,15,telephony,671,38,0.05663189269746647,46.700932719003106,0.06959900554247855,5.19000182748538,38,3.324324324324324,37,4.203174603174603,0.05636621566404429,5.1539568799419095,0.8788502788502792,0.9063818227961491,0.27543314082629944,0.26060673080950214,0.4191848852905181,0.36580794073275935,0.3888586694974371,0.35157821674463574
product_category,16,books_general_interest,93,8,0.08602150537634409,4.514001626167795,0.04853765189427737,3.83943431712963,8,3.5,8,4.630952380952381,0.07440588457185968,4.493629740544681,1.1309523809523814,1.062783577865429,0.018658374055975122,0.007987922969260921,0.6560779920200082,0.2446240354147083,0.5645100099448646,0.34389797739776906
product_category,17,food,185,21,0.11351351351351352,13.604780741415572,0.07353935535900309,2.276726741622575,21,3.9523809523809526,21,4.47239263803681,0.10059592125011035,3.1606813666723004,0.5200116856558576,0.677507443636506,0.05952909817858729,0.0624242548602734,1.0,0.0,0.13181493315537315,0.3382894769819827
product_category,18,construction_tools_lights,130,11,0.08461538461538462,8.248259606010404,0.06344815081546465,3.233207070707071,11,3.4545454545454546,11,4.428571428571429,0.0757780082987552,4.08262564621643,0.9740259740259742,0.9903224318211614,0.03509551310528654,0.030348966415627118,0.6740964298384929,0.16919614781058548,0.48313050478909153,0.3278272093207769
product_category,19,office_furniture,154,13,0.08441558441558442,12.701580101972054,0.0824777928699484,3.9364147079772076,13,3.25,12,3.9571428571428573,0.07666687006752909,4.406228347672649,0.7071428571428573,0.8440090745305892,0.04575744113727232,0.05701581525904545,0.685768774100127,0.22858404328574855,0.3188092200179058,0.31701847264481303
product_category,20,stationery,480,34,0.07083333333333333,28.51144494183277,0.059398843628818275,3.5557111247276687,34,3.757575757575758,33,4.559550561797753,0.06913215376184138,3.8878190689433625,0.8019748042219952,0.8499454393787096,0.1905819635717459,0.15168658425080192,0.586824477333881,0.13344504747395122,0.3254762196464934,0.31533353945331566
product_category,21,home_appliances_2,56,3,0.05357142857142857,3.185372816732906,0.05688165744165903,6.743622685185184,3,3.0,3,4.339622641509434,0.05320793862052768,5.415440680640215,1.3396226415094343,1.0847194829605367,0.002221235006663705,3.198454930216975e-05,0.3777110608775355,0.41379571263465814,0.5891457381831854,0.29165939849955064
product_category,22,luggage_accessories,153,10,0.06535947712418301,7.104278619468863,0.04643319359129976,4.0772662037037035,10,3.6,10,4.496503496503497,0.06226621425505386,4.547126141490213,0.8965034965034966,0.952376015949682,0.04531319413593958,0.023498714322719914,0.4966624156745904,0.25444174909062606,0.44051372718292975,0.28319097068655086
product_category,23,drinks,70,4,0.05714285714285714,3.5356480917991124,0.05050925845427304,3.012294560185185,4,3.0,4,4.333333333333333,0.05533367911479945,4.4442170738219975,1.333333333333333,1.1011299062351432,0.008440693025322079,0.0021294616615485608,0.405625834278424,0.23555577277885756,0.6075759204034389,0.2743840603130775
product_category,24,home_confort,53,2,0.03773584905660377,4.388991716705588,0.08281116446614317,4.6313657407407405,2,2.5,2,4.549019607843137,0.04504894654151392,4.95271602285406,2.049019607843137,1.1817103808037455,0.000888494002665482,0.007239353365393182,0.2705689070355926,0.3288760148486908,0.6980740632509735,0.2672654461248518
product_category,25,fashion_bags_accessories,285,12,0.042105263157894736,17.166473488740067,0.060233240311368653,5.996337770061728,12,3.5833333333333335,12,4.47985347985348,0.04370161639933114,5.5511779106139985,0.8965201465201464,0.9473057778272923,0.1039537983118614,0.08375196352299605,0.25287605331399865,0.4387063465369584,0.4348194552600162,0.26306443551449865
